Word/Phrase,Effort Score,Hits,Grid Name,Actual Position X,Actual Position Y,XY,Path,Cell Type,count
There is a problem,5.55,5,07 DAILY LIFE - BLANK 2 phrases TEEN,106.67,385.71,"(3, 1)",01 CORE - Home - TEEN ADULT -> 07 DAILY LIFE - .Index with core pg1 TEEN -> 07 DAILY LIFE - .Index with core TEEN page 2 -> 07 DAILY LIFE - Blank 2 core TEEN -> 07 DAILY LIFE - BLANK 2 phrases TEEN,WordList,24
Not like that,5.55,5,07 DAILY LIFE - BLANK 2 phrases TEEN,106.67,77.14,"(1, 1)",01 CORE - Home - TEEN ADULT -> 07 DAILY LIFE - .Index with core pg1 TEEN -> 07 DAILY LIFE - .Index with core TEEN page 2 -> 07 DAILY LIFE - Blank 2 core TEEN -> 07 DAILY LIFE - BLANK 2 phrases TEEN,WordList,6
Wait a minute,5.55,5,07 DAILY LIFE - BLANK 2 phrases TEEN,106.67,1002.86,"(7, 1)",01 CORE - Home - TEEN ADULT -> 07 DAILY LIFE - .Index with core pg1 TEEN -> 07 DAILY LIFE - .Index with core TEEN page 2 -> 07 DAILY LIFE - Blank 2 core TEEN -> 07 DAILY LIFE - BLANK 2 phrases TEEN,WordList,42
Let me show you,5.55,5,07 DAILY LIFE - BLANK 2 phrases TEEN,106.67,848.57,"(6, 1)",01 CORE - Home - TEEN ADULT -> 07 DAILY LIFE - .Index with core pg1 TEEN -> 07 DAILY LIFE - .Index with core TEEN page 2 -> 07 DAILY LIFE - Blank 2 core TEEN -> 07 DAILY LIFE - BLANK 2 phrases TEEN,WordList,42
topic,5.55,5,16 EDUCATION - Science Expanded - Template 1 TEEN,106.67,77.14,"(1, 1)",01 CORE - Home - TEEN ADULT -> 16 EDUCATION - .Index Core TEEN -> 16 EDUCATION - Science Core TEEN -> 16 EDUCATION - Science Expanded - Index TEEN -> 16 EDUCATION - Science Expanded - Template 1 TEEN,Regular,6
That's private,4.55,4,07 DAILY LIFE - AAC phrases TEEN,106.67,77.14,"(1, 1)",01 CORE - Home - TEEN ADULT -> 07 DAILY LIFE - .Index with core pg1 TEEN -> 07 DAILY LIFE - AAC with core - TEEN -> 07 DAILY LIFE - AAC phrases TEEN,WordList,20
it's not on my device,4.55,4,07 DAILY LIFE - AAC phrases TEEN,746.67,1002.86,"(7, 4)",01 CORE - Home - TEEN ADULT -> 07 DAILY LIFE - .Index with core pg1 TEEN -> 07 DAILY LIFE - AAC with core - TEEN -> 07 DAILY LIFE - AAC phrases TEEN,WordList,1
ten,3.55,3,16 SCHOOL - Numbers Core,1173.33,1157.14,"(8, 6)",01 CORE - Home - TEEN ADULT -> 16 EDUCATION - .Index Core TEEN -> 16 SCHOOL - Numbers Core,Regular,1
seven,3.55,3,16 SCHOOL - Numbers Core,960.0,1002.86,"(7, 5)",01 CORE - Home - TEEN ADULT -> 16 EDUCATION - .Index Core TEEN -> 16 SCHOOL - Numbers Core,Regular,1
eight,3.55,3,16 SCHOOL - Numbers Core,960.0,1157.14,"(8, 5)",01 CORE - Home - TEEN ADULT -> 16 EDUCATION - .Index Core TEEN -> 16 SCHOOL - Numbers Core,Regular,1
nine,3.55,3,16 SCHOOL - Numbers Core,1173.33,1002.86,"(7, 6)",01 CORE - Home - TEEN ADULT -> 16 EDUCATION - .Index Core TEEN -> 16 SCHOOL - Numbers Core,Regular,1
whiskers,3.55,3,15 TOPICS - Animals .Index,746.67,77.14,"(1, 4)",01 CORE - Home - TEEN ADULT -> 15 TOPICS - .Index TEEN -> 15 TOPICS - Animals .Index,Regular,1
line,5.55,5,16 SCHOOL - Maths Expanded,533.33,1157.14,"(8, 3)",01 CORE - Home - TEEN ADULT -> 16 EDUCATION - .Index Core TEEN -> 16 SCHOOL - .Index Core -> 16 SCHOOL - Maths Core -> 16 SCHOOL - Maths Expanded,Regular,4
I need some change,5.55,5,07 DAILY LIFE - shopping phrases TEEN,746.67,1002.86,"(7, 4)",01 CORE - Home - TEEN ADULT -> 07 DAILY LIFE - .Index with core pg1 TEEN -> 07 DAILY LIFE - .Index with core TEEN page 2 -> 07 DAILY LIFE - shopping core TEEN -> 07 DAILY LIFE - shopping phrases TEEN,WordList,1
cider,4.55,4,15 TOPICS - Drinks TEEN - Alcohol,960.0,77.14,"(1, 5)",01 CORE - Home - TEEN ADULT -> 15 TOPICS - .Index TEEN -> 15 TOPICS - Drinks TEEN -> 15 TOPICS - Drinks TEEN - Alcohol,Regular,1
yourselves,3.55,3,02 PEOPLE - Self,1173.33,77.14,"(1, 6)",01 CORE - Home - TEEN ADULT -> 02 PEOPLE - Main -> 02 PEOPLE - Self,Regular,1
what was the final score?,4.55,4,08 LEISURE ACTIVITIES - sports phrases TEEN,533.33,848.57,"(6, 3)",01 CORE - Home - TEEN ADULT -> 08 LEISURE ACTIVITIES - .Index pg1 core TEEN -> 08 LEISURE ACTIVITIES - sportS TEEN -> 08 LEISURE ACTIVITIES - sports phrases TEEN,WordList,1
I want to wear something different,5.55,5,07 DAILY LIFE - dressing phrases TEEN -,746.67,1002.86,"(7, 4)",01 CORE - Home - TEEN ADULT -> 07 DAILY LIFE - .Index with core pg1 TEEN -> 07 DAILY LIFE - .Index with core TEEN page 2 -> 07 DAILY LIFE - dressing core TEEN -> 07 DAILY LIFE - dressing phrases TEEN -,WordList,1
colours,5.55,5,16 SCHOOL - Colours Expanded,106.67,77.14,"(1, 1)",01 CORE - Home - TEEN ADULT -> 16 EDUCATION - .Index Core TEEN -> 16 SCHOOL - .Index Core -> 16 SCHOOL - Colours Core -> 16 SCHOOL - Colours Expanded,Regular,1
2019,3.55,3,13 TIME - Date,1173.33,540.0,"(4, 6)",01 CORE - Home - TEEN ADULT -> 16 EDUCATION - .Index Core TEEN -> 13 TIME - Date,Regular,1
2020,3.55,3,13 TIME - Date,1173.33,694.29,"(5, 6)",01 CORE - Home - TEEN ADULT -> 16 EDUCATION - .Index Core TEEN -> 13 TIME - Date,Regular,1
2022,3.55,3,13 TIME - Date,1173.33,1002.86,"(7, 6)",01 CORE - Home - TEEN ADULT -> 16 EDUCATION - .Index Core TEEN -> 13 TIME - Date,Regular,1
2021,3.55,3,13 TIME - Date,1173.33,848.57,"(6, 6)",01 CORE - Home - TEEN ADULT -> 16 EDUCATION - .Index Core TEEN -> 13 TIME - Date,Regular,1
cut it please,5.55,5,08 LEISURE ACTIVITIES - craft phrases TEEN,746.67,1002.86,"(7, 4)",01 CORE - Home - TEEN ADULT -> 08 LEISURE ACTIVITIES - .Index pg1 core TEEN -> 08 LEISURE ACTIVITIES - .Index pg2 core - TEEN -> 08 LEISURE ACTIVITIES - craft core - TEEN -> 08 LEISURE ACTIVITIES - craft phrases TEEN,WordList,1
what colour?,5.55,5,08 LEISURE ACTIVITIES - craft phrases TEEN,533.33,848.57,"(6, 3)",01 CORE - Home - TEEN ADULT -> 08 LEISURE ACTIVITIES - .Index pg1 core TEEN -> 08 LEISURE ACTIVITIES - .Index pg2 core - TEEN -> 08 LEISURE ACTIVITIES - craft core - TEEN -> 08 LEISURE ACTIVITIES - craft phrases TEEN,WordList,1
I want to do some cooking,5.55,5,07 DAILY LIFE - cooking phrases TEEN,960.0,1002.86,"(7, 5)",01 CORE - Home - TEEN ADULT -> 07 DAILY LIFE - .Index with core pg1 TEEN -> 07 DAILY LIFE - .Index with core TEEN page 2 -> 07 DAILY LIFE - cooking core TEEN -> 07 DAILY LIFE - cooking phrases TEEN,WordList,1
Do we have the ingredients?,5.55,5,07 DAILY LIFE - cooking phrases TEEN,746.67,1002.86,"(7, 4)",01 CORE - Home - TEEN ADULT -> 07 DAILY LIFE - .Index with core pg1 TEEN -> 07 DAILY LIFE - .Index with core TEEN page 2 -> 07 DAILY LIFE - cooking core TEEN -> 07 DAILY LIFE - cooking phrases TEEN,WordList,1
Is it ready?,5.55,5,07 DAILY LIFE - cooking phrases TEEN,533.33,848.57,"(6, 3)",01 CORE - Home - TEEN ADULT -> 07 DAILY LIFE - .Index with core pg1 TEEN -> 07 DAILY LIFE - .Index with core TEEN page 2 -> 07 DAILY LIFE - cooking core TEEN -> 07 DAILY LIFE - cooking phrases TEEN,WordList,1
75,4.55,4,16 SCHOOL - Numbers 51 to 100,533.33,848.57,"(6, 3)",01 CORE - Home - TEEN ADULT -> 18 SPELLING - abc keyboard with prediction -> 16 SCHOOL - Numbers 0 to 50 -> 16 SCHOOL - Numbers 51 to 100,Regular,1
57,4.55,4,16 SCHOOL - Numbers 51 to 100,106.67,848.57,"(6, 1)",01 CORE - Home - TEEN ADULT -> 18 SPELLING - abc keyboard with prediction -> 16 SCHOOL - Numbers 0 to 50 -> 16 SCHOOL - Numbers 51 to 100,Regular,1
It,4.55,4,18 SPELLING - abc phonics keyboard with prediction,533.33,848.57,"(6, 3)",01 CORE - Home - TEEN ADULT -> 18 SPELLING - abc keyboard with prediction -> 18 SPELLING - Keyboards Index -> 18 SPELLING - abc phonics keyboard with prediction,Regular,10
good night,4.55,4,07 DAILY LIFE - sleep phrases TEEN,533.33,385.71,"(3, 3)",01 CORE - Home - TEEN ADULT -> 07 DAILY LIFE - .Index with core pg1 TEEN -> 07 DAILY LIFE - sleep core TEEN -> 07 DAILY LIFE - sleep phrases TEEN,WordList,1
we've,6.55,6,16 SCHOOL - Stories Expanded - Bear Hunt,533.33,540.0,"(4, 3)",01 CORE - Home - TEEN ADULT -> 16 EDUCATION - .Index Core TEEN -> 16 SCHOOL - .Index Core -> 16 SCHOOL - Stories Core -> 16 SCHOOL - Stories Expanded -> 16 SCHOOL - Stories Expanded - Bear Hunt,Regular,1
I need to login,4.55,4,08 LEISURE ACTIVITIES - internet phrases TEEN,960.0,1002.86,"(7, 5)",01 CORE - Home - TEEN ADULT -> 08 LEISURE ACTIVITIES - .Index pg1 core TEEN -> 08 LEISURE ACTIVITIES - Internet TEEN -> 08 LEISURE ACTIVITIES - internet phrases TEEN,WordList,1
take my coat off,4.55,4,07 DAILY LIFE - personal care phrases TEEN,320.0,848.57,"(6, 2)",01 CORE - Home - TEEN ADULT -> 07 DAILY LIFE - .Index with core pg1 TEEN -> 07 DAILY LIFE - personal care with core - TEEN -> 07 DAILY LIFE - personal care phrases TEEN,WordList,1
postbox,3.55,3,15 TOPICS - Outside,320.0,848.57,"(6, 2)",01 CORE - Home - TEEN ADULT -> 15 TOPICS - .Index TEEN -> 15 TOPICS - Outside,Regular,1
where is the disabled access?,4.55,4,07 DAILY LIFE - accessibility phrases TEEN,320.0,848.57,"(6, 2)",01 CORE - Home - TEEN ADULT -> 07 DAILY LIFE - .Index with core pg1 TEEN -> 07 DAILY LIFE - accessibility with core - TEEN -> 07 DAILY LIFE - accessibility phrases TEEN,WordList,1
do you like it?,5.55,5,08 LEISURE ACTIVITIES - beauty phrases TEEN,533.33,848.57,"(6, 3)",01 CORE - Home - TEEN ADULT -> 08 LEISURE ACTIVITIES - .Index pg1 core TEEN -> 08 LEISURE ACTIVITIES - .Index pg2 core - TEEN -> 08 LEISURE ACTIVITIES - Beauty TEEN -> 08 LEISURE ACTIVITIES - beauty phrases TEEN,WordList,1
That's too hot,5.55,5,07 DAILY LIFE - washing phrases TEEN,960.0,1002.86,"(7, 5)",01 CORE - Home - TEEN ADULT -> 07 DAILY LIFE - .Index with core pg1 TEEN -> 07 DAILY LIFE - .Index with core TEEN page 2 -> 07 DAILY LIFE - washing core TEEN -> 07 DAILY LIFE - washing phrases TEEN,WordList,1
That's too cold,5.55,5,07 DAILY LIFE - washing phrases TEEN,320.0,1002.86,"(7, 2)",01 CORE - Home - TEEN ADULT -> 07 DAILY LIFE - .Index with core pg1 TEEN -> 07 DAILY LIFE - .Index with core TEEN page 2 -> 07 DAILY LIFE - washing core TEEN -> 07 DAILY LIFE - washing phrases TEEN,WordList,1
Please wash my hair,5.55,5,07 DAILY LIFE - washing phrases TEEN,746.67,1002.86,"(7, 4)",01 CORE - Home - TEEN ADULT -> 07 DAILY LIFE - .Index with core pg1 TEEN -> 07 DAILY LIFE - .Index with core TEEN page 2 -> 07 DAILY LIFE - washing core TEEN -> 07 DAILY LIFE - washing phrases TEEN,WordList,1
Please dry my face,5.55,5,07 DAILY LIFE - washing phrases TEEN,533.33,848.57,"(6, 3)",01 CORE - Home - TEEN ADULT -> 07 DAILY LIFE - .Index with core pg1 TEEN -> 07 DAILY LIFE - .Index with core TEEN page 2 -> 07 DAILY LIFE - washing core TEEN -> 07 DAILY LIFE - washing phrases TEEN,WordList,1
Do you want to go out with me?,5.55,5,07 DAILY LIFE - dating phrases TEEN,960.0,848.57,"(6, 5)",01 CORE - Home - TEEN ADULT -> 07 DAILY LIFE - .Index with core pg1 TEEN -> 07 DAILY LIFE - .Index with core TEEN page 2 -> 07 DAILY LIFE - relationships with core - TEEN -> 07 DAILY LIFE - dating phrases TEEN,WordList,1
Can I have your number?,5.55,5,07 DAILY LIFE - dating phrases TEEN,320.0,848.57,"(6, 2)",01 CORE - Home - TEEN ADULT -> 07 DAILY LIFE - .Index with core pg1 TEEN -> 07 DAILY LIFE - .Index with core TEEN page 2 -> 07 DAILY LIFE - relationships with core - TEEN -> 07 DAILY LIFE - dating phrases TEEN,WordList,1
Let's do this again,5.55,5,07 DAILY LIFE - dating phrases TEEN,746.67,694.29,"(5, 4)",01 CORE - Home - TEEN ADULT -> 07 DAILY LIFE - .Index with core pg1 TEEN -> 07 DAILY LIFE - .Index with core TEEN page 2 -> 07 DAILY LIFE - relationships with core - TEEN -> 07 DAILY LIFE - dating phrases TEEN,WordList,1
I need to make an appointment,4.55,4,07 DAILY LIFE - scheduling phrases TEEN,320.0,848.57,"(6, 2)",01 CORE - Home - TEEN ADULT -> 07 DAILY LIFE - .Index with core pg1 TEEN -> 07 DAILY LIFE - scheduling with core - TEEN -> 07 DAILY LIFE - scheduling phrases TEEN,WordList,1
goodbye,6.55,6,16 SCHOOL - Stories Expanded - The Gruffalo,746.67,231.43,"(2, 4)",01 CORE - Home - TEEN ADULT -> 16 EDUCATION - .Index Core TEEN -> 16 SCHOOL - .Index Core -> 16 SCHOOL - Stories Core -> 16 SCHOOL - Stories Expanded -> 16 SCHOOL - Stories Expanded - The Gruffalo,Regular,1
poisonous,6.55,6,16 SCHOOL - Stories Expanded - The Gruffalo,533.33,540.0,"(4, 3)",01 CORE - Home - TEEN ADULT -> 16 EDUCATION - .Index Core TEEN -> 16 SCHOOL - .Index Core -> 16 SCHOOL - Stories Core -> 16 SCHOOL - Stories Expanded -> 16 SCHOOL - Stories Expanded - The Gruffalo,Regular,1
terrible,6.55,6,16 SCHOOL - Stories Expanded - The Gruffalo,106.67,385.71,"(3, 1)",01 CORE - Home - TEEN ADULT -> 16 EDUCATION - .Index Core TEEN -> 16 SCHOOL - .Index Core -> 16 SCHOOL - Stories Core -> 16 SCHOOL - Stories Expanded -> 16 SCHOOL - Stories Expanded - The Gruffalo,Regular,1
Prime,3.55,3,15 TOPICS - Politics TEEN,106.67,540.0,"(4, 1)",01 CORE - Home - TEEN ADULT -> 15 TOPICS - .Index TEEN -> 15 TOPICS - Politics TEEN,Regular,1
Green,3.55,3,15 TOPICS - Politics TEEN,960.0,77.14,"(1, 5)",01 CORE - Home - TEEN ADULT -> 15 TOPICS - .Index TEEN -> 15 TOPICS - Politics TEEN,Regular,1
UKIP,3.55,3,15 TOPICS - Politics TEEN,960.0,231.43,"(2, 5)",01 CORE - Home - TEEN ADULT -> 15 TOPICS - .Index TEEN -> 15 TOPICS - Politics TEEN,Regular,1
gentle,3.55,3,05 DESCRIBE - Feels,106.67,1157.14,"(8, 1)",01 CORE - Home - TEEN ADULT -> 05 DESCRIBE - Main -> 05 DESCRIBE - Feels,Regular,1
smooth,3.55,3,05 DESCRIBE - Feels,746.67,694.29,"(5, 4)",01 CORE - Home - TEEN ADULT -> 05 DESCRIBE - Main -> 05 DESCRIBE - Feels,Regular,1
